pwsid,report_year,data_year,contaminant,unit,sample_scope,statistic_type,result_text,minimum,average,maximum,percentile_90,comparison_value,benchmark_type,benchmark_value,violation,source_page,notes
TX0150018,2025,2024,Lead,ppb,customer taps,90th percentile,"90th percentile 1.6; 0 sites over action level",,,,1.6,1.6,Action Level,15,no,3,
TX0150018,2025,2024,Copper,ppm,customer taps,90th percentile,"90th percentile 0.187; 0 sites over action level",,,,0.187,0.187,Action Level,1.3,no,3,
TX0150018,2025,2024,Nitrate as nitrogen,ppm,SAWS main system,highest result,"Highest reported level 2; samples 0 to 2.51",0,,2.51,,2,MCL,10,no,3,"The report's displayed highest-level and range maximum differ; comparison preserves its highest-level field."
TX0150018,2025,2024,Haloacetic Acids,ppb,SAWS main distribution system,highest LRAA,"Highest LRAA 8; samples 0 to 12.7",0,,12.7,,8,MCL,60,no,3,
TX0150018,2025,2024,Total Trihalomethanes,ppb,SAWS main distribution system,highest LRAA,"Highest LRAA 33; samples 0 to 52.9",0,,52.9,,33,MCL,80,no,3,
TX0150018,2025,2024,Uranium,ppb,water plants,highest result,"Highest result 1.7; samples 0 to 1.7",0,,1.7,,1.7,MCL,30,no,3,
MD0300002,2025,2024,Lead,ppb,customer taps,90th percentile,"90th percentile 2.74; 0 samples above action level; range <2 to 7.09",2,,7.09,2.74,2.74,Action Level,15,no,24,"Minimum is the reported upper bound for <2."
MD0300002,2025,2024,Copper,ppb,customer taps,90th percentile,"90th percentile 112; 0 samples above action level; range 14.4 to 402",14.4,,402,112,112,Action Level,1300,no,24,
MD0300002,2025,2024,Fluoride,ppm,treatment plants,highest result,"Highest across treatment plants 1.09; ranges 0.07 to 1.09",0.07,,1.09,,1.09,MCL,4,no,24,
MD0300002,2025,2024,Nitrate,ppm,treatment plants,highest result,"Highest across treatment plants 5.81; ranges 0.41 to 5.81",0.41,,5.81,,5.81,MCL,10,no,24,
MD0300002,2025,2024,PFOA,ppt,treatment plants,highest result,"Highest detected 2.9 at Ashburton; 1.9 at Montebello",1.9,,2.9,,2.9,Future Federal MCL,4,no,24,"Report states listed PFAS MCLs take effect April 26 2029."
MD0300002,2025,2024,PFOS,ppt,treatment plants,highest result,"Highest detected 3.3 at Ashburton; 1.7 at Montebello",1.7,,3.3,,3.3,Future Federal MCL,4,no,24,"Report states listed PFAS MCLs take effect April 26 2029."
NV0000090,2025,2024,Arsenic,ppb,entry points,range,"Entry-point results 0.77 to 4.0",0.77,,4,,4,MCL,10,no,3,
NV0000090,2025,2024,Copper,ppm,customer taps,90th percentile,"90th percentile 0.85; samples ND to 2.3",0,,2.3,0.85,0.85,Action Level,1.3,no,3,
NV0000090,2025,2024,Lead,ppb,customer taps,90th percentile,"90th percentile 2.6; samples ND to 16",0,,16,2.6,2.6,Action Level,15,no,3,
NV0000090,2025,2024,Nitrate as nitrogen,ppm,entry points,highest result,"Highest entry-point result 6.3",0.45,,6.3,,6.3,MCL,10,no,3,
NV0000090,2025,2024,Haloacetic Acids,ppb,distribution system,highest LRAA,"Highest LRAA 42; samples ND to 49",0,,49,,42,MCL,60,no,3,
NV0000090,2025,2024,Total Trihalomethanes,ppb,distribution system,highest LRAA,"Highest LRAA 77; samples 1 to 90",1,,90,,77,MCL,80,no,3,"Individual samples reached 90; compliance is based on the LRAA."
CA3710020,2025,2025,Fluoride,ppm,treated water,range,"Average 0.7; range 0.2 to 0.9",0.2,0.7,0.9,,0.7,MCL,2,no,8,
CA3710020,2025,2025,Nitrate as nitrogen,ppm,treated water,highest result,"Highest reported treated/purchased-water result 0.5",0,,0.5,,0.5,MCL,10,no,8,
CA3710020,2025,2023,Copper,ppm,customer taps,90th percentile,"90th percentile 0.6; 1 of 56 sites exceeded action level",0,,0.6,0.6,0.6,Action Level,1.3,no,9,"Most recent system-wide study was conducted in 2023."
CA3710020,2025,2023,Lead,ppb,customer taps,90th percentile,"90th percentile non-detect; range ND to 1.4; 0 of 56 exceeded action level",0,,1.4,0,0,Action Level,15,no,9,"Most recent system-wide study was conducted in 2023."
CA3710020,2025,2025,Haloacetic Acids,ppb,distribution system,highest LRAA,"Highest LRAA 15; samples 1.3 to 21.2",1.3,,21.2,,15,MCL,60,no,9,
CA3710020,2025,2025,Total Trihalomethanes,ppb,distribution system,highest LRAA,"Highest LRAA 55; samples 8.6 to 87.0",8.6,,87,,55,MCL,80,no,9,"Individual samples reached 87; compliance is based on the LRAA."
CO0116001,2025,2024,Lead,ppb,customer taps,90th percentile,"Second-half 90th percentile 3.6; 3 of 478 sites above action level; range BRL to 35.9",0,,35.9,3.6,3.6,Action Level,15,no,13,"First-half 90th percentile was 4 with 7 of 457 sites above action level."
CO0116001,2025,2024,Copper,ppb,customer taps,90th percentile,"Second-half 90th percentile 60; 0 sites above action level; range BRL to 261",0,,261,60,60,Action Level,1300,no,13,"Second-half sample size was 478; first-half 90th percentile was 60 with 0 of 402 sites above action level."
CO0116001,2025,2024,Total Trihalomethanes,ppb,distribution system,highest LRAA,"Highest LRAA 37.9; samples 16.4 to 64.7",16.4,,64.7,,37.9,MCL,80,no,14,
CO0116001,2025,2024,Haloacetic Acids,ppb,distribution system,highest LRAA,"Highest LRAA 22.9; samples 7.7 to 37.2",7.7,,37.2,,22.9,MCL,60,no,14,
CO0116001,2025,2024,Total Hardness,ppb,distribution system,range,"Average 89000; range 48000 to 116000",48000,89000,116000,,,,,not_applicable,14,
DC0000002,2025,2024,Arsenic,ppb,water entering distribution,range,0.4 to 0.4,0.4,,0.4,,0.4,MCL,10,no,19,
DC0000002,2025,2024,Barium,ppm,water entering distribution,range,0.04 to 0.04,0.04,,0.04,,0.04,MCL,2,no,19,
DC0000002,2025,2024,Cyanide,ppm,water entering distribution,range,0.008 to 0.008,0.008,,0.008,,0.008,MCL,0.2,no,19,
DC0000002,2025,2024,Fluoride,ppm,water entering distribution,range,0.7 to 0.8,0.7,,0.8,,0.8,MCL,4,no,19,
DC0000002,2025,2024,Nitrate as Nitrogen,ppm,water entering distribution,range,0.3 to 2,0.3,,2,,2,MCL,10,no,19,
DC0000002,2025,2024,Atrazine,ppb,water entering distribution,range,ND to 0.2,0,,0.2,,0.2,MCL,3,no,20,
DC0000002,2025,2024,Dalapon,ppb,water entering distribution,range,ND to 1,0,,1,,1,MCL,200,no,20,
DC0000002,2025,2024,Chlorine,ppm,distribution system,highest running annual average,Highest RAA 3.2; samples 0.1 to 4.2,0.1,,4.2,,3.2,MRDL,4,no,20,
DC0000002,2025,2024,Total Trihalomethanes,ppb,distribution system,highest LRAA,Highest LRAA 55; samples 22 to 68,22,,68,,55,MCL,80,no,20,
DC0000002,2025,2024,Haloacetic Acids,ppb,distribution system,highest LRAA,Highest LRAA 35; samples 13 to 55,13,,55,,35,MCL,60,no,20,
DC0000002,2025,2024,Lead,ppb,customer taps Jan-Jun,90th percentile,2; range ND to 12.7; 0 of 105 above AL,0,,12.7,2,2,Action Level,15,no,21,
DC0000002,2025,2024,Lead,ppb,customer taps Jul-Dec,90th percentile,2; range ND to 35.9; 1 of 105 above AL,0,,35.9,2,2,Action Level,15,no,21,
DC0000002,2025,2024,Copper,ppm,customer taps Jan-Jun,90th percentile,0.101; report range displayed as 1.2 to 364,1.2,,364,0.101,0.101,Action Level,1.3,no,21,"Range unit rendering in source PDF appears inconsistent with table unit; preserve source text and do not use range for comparison."
DC0000002,2025,2024,Copper,ppm,customer taps Jul-Dec,90th percentile,0.095; report range displayed as 3.5 to 951,3.5,,951,0.095,0.095,Action Level,1.3,no,21,"Range unit rendering in source PDF appears inconsistent with table unit; preserve source text and do not use range for comparison."
DC0000002,2025,2024,Nickel,ppb,water entering distribution,range,0.7 to 1.0,0.7,0.8,1.0,,,,,not_applicable,21,
DC0000002,2025,2024,Sodium,ppm,water entering distribution,range,16 to 25,16,19,25,,,,,not_applicable,21,
DC0000002,2025,2024,Total Hardness,ppm,water entering distribution,range,78 to 175,78,126,175,,,,,not_applicable,21,
NY7003493,2025,2025,Alkalinity as CaCO3,mg/L,water system,range,16 to 72,16,25,72,,,,,not_applicable,11,
NY7003493,2025,2025,Aluminum,µg/L,water system,range,5 to 62,5,16,62,,62,MCL range upper,200,no,11,"NYSDOH MCL displayed as 50-200 depending on conditions; upper value stored for simple comparison."
NY7003493,2025,2025,Barium,mg/L,water system,range,0.01 to 0.03,0.01,0.02,0.03,,0.03,MCL,2,no,11,
NY7003493,2025,2025,Chloride,mg/L,water system,range,12 to 72,12,19,72,,72,MCL,250,no,11,
NY7003493,2025,2025,Chlorine Residual Free,mg/L,distribution system,range,ND to 1.4,0,0.6,1.4,,1.4,MRDL,4,no,11,
NY7003493,2025,2025,Copper,mg/L,water system,range,ND to 0.048,0,0.007,0.048,,0.048,Action Level,1.3,no,11,"This conventional table row is separate from residential Lead and Copper Rule tap sampling."
NY7003493,2025,2025,Fluoride,mg/L,water system,range,ND to 0.8,0,0.7,0.8,,0.8,MCL,2.2,no,11,
NY7003493,2025,2025,Hardness as CaCO3,mg/L,water system,range,18 to 100,18,32,100,,,,,not_applicable,11,
NY7003493,2025,2025,Iron,µg/L,water system,range,ND to 95,0,27,95,,95,MCL,300,no,11,
NY7003493,2025,2025,Lead,µg/L,water system,range,ND to 2.5,0,,2.5,,2.5,MCL,15,no,11,"This conventional table row is separate from residential Lead and Copper Rule tap sampling."
NY7003493,2025,2025,Manganese,µg/L,water system,range,ND to 140,0,21,140,,140,MCL,300,no,12,
NY7003493,2025,2025,Nitrate as Nitrogen,mg/L,water system,range,0.07 to 0.37,0.07,0.14,0.37,,0.37,MCL,10,no,12,
NY7003493,2025,2025,pH,pH units,distribution system,range,6.9 to 8.1,6.9,7.3,8.1,,,,,not_applicable,12,
NY7003493,2025,2025,Sodium,mg/L,water system,range,9 to 49,9,16,49,,,,,not_applicable,12,
NY7003493,2025,2025,Sulfate,mg/L,water system,range,3 to 33,3,6,33,,33,MCL,250,no,12,
NY7003493,2025,2025,Total Dissolved Solids,mg/L,water system,range,45 to 240,45,73,240,,240,MCL,500,no,12,
NY7003493,2025,2025,Haloacetic Acid 5,µg/L,distribution system,highest LRAA,Range 7 to 64; highest LRAA 47,7,,64,,47,MCL,60,no,13,
NY7003493,2025,2025,Total Trihalomethanes,µg/L,distribution system,highest LRAA,Range 4 to 81; highest LRAA 52,4,,81,,52,MCL,80,no,13,
NY7003493,2025,2025,Copper,mg/L,residential customer taps,90th percentile,0.194; range 0.007 to 1.350; 1 of 326 exceeding AL,0.007,,1.35,0.194,0.194,Action Level,1.3,no,13,
NY7003493,2025,2025,Lead,µg/L,residential customer taps,90th percentile,10; range ND to 155; 16 of 326 exceeding AL,0,,155,10,10,Action Level,15,no,13,
CA3810011,2025,2025,Total Trihalomethanes,ppb,distribution system,highest LRAA,Range 12 to 65; highest LRAA 47,12,,65,,47,MCL,80,no,9,
CA3810011,2025,2025,Five Haloacetic Acids,ppb,distribution system,highest LRAA,Range 6 to 50; highest LRAA 37,6,,50,,37,MCL,60,no,9,
CA3810011,2025,2025,Bromate,ppb,water system,highest running annual average,Range 1.9 to 4.1; highest RAA 3.5,1.9,,4.1,,3.5,MCL,10,no,9,
CA3810011,2025,2025,Chromium VI,ppb,water system,range,ND to 0.1,0,0.1,0.1,,0.1,MCL,10,no,9,
CA3810011,2025,2025,Fluoride source water,ppm,source water,range,ND to 0.9,0,0.3,0.9,,0.9,MCL,2,no,9,
CA3810011,2025,2025,Nitrate as N,ppm,water system,range,ND to 0.4,0,,0.4,,0.4,MCL,10,no,9,
CA3810011,2025,2025,Chloramine as chlorine,ppm,distribution system,highest running annual average,Range below 0.1 to 3.6; highest RAA 2.6,0.1,,3.6,,2.6,MRDL,4,no,9,
CA3810011,2025,2025,Chloride,ppm,water system,range,below 3 to 19,3,10,19,,19,SMCL,500,no,9,
CA3810011,2025,2025,Iron,ppb,water system,range,below 6 to 36,6,17,36,,36,SMCL,300,no,9,
CA3810011,2025,2025,Manganese,ppb,water system,range,below 2 to 2.7,2,2,2.7,,2.7,SMCL,50,no,9,
CA3810011,2025,2025,Sulfate,ppm,water system,range,1 to 45,1,16,45,,45,SMCL,500,no,9,
CA3810011,2025,2025,Total Dissolved Solids,ppm,water system,range,24 to 197,24,95,197,,197,SMCL,1000,no,9,
CA3810011,2025,2024,Copper,ppb,customer taps,90th percentile,Range ND to 152; 90th percentile 72,0,,152,72,72,Action Level,1300,no,9,"Lead and Copper Rule monitoring occurred in August 2024."
CA3810011,2025,2024,Lead,ppb,customer taps,90th percentile,Range below 1 to 8.8; 90th percentile 4.9,1,,8.8,4.9,4.9,Action Level,15,no,9,"Lead and Copper Rule monitoring occurred in August 2024; none of 50 samples exceeded the action level."
CA3810011,2025,2025,Alkalinity as CaCO3,ppm,water system,range,8 to 131,8,64,131,,,,,not_applicable,9,
CA3810011,2025,2025,Hardness as CaCO3,ppm,water system,range,8.1 to 112,8.1,62,112,,,,,not_applicable,9,
CA3810011,2025,2025,pH,pH units,water system,range,9 to 9.7,9,9.3,9.7,,,,,not_applicable,9,
CA3810011,2025,2025,Sodium,ppm,water system,range,3.1 to 29,3.1,18,29,,,,,not_applicable,9,
TX2270001,2025,2025,Barium,ppm,treatment plants,range,0.009 to 0.015,0.009,0.012,0.015,,0.015,MCL,2,no,1,Official web table.
TX2270001,2025,2025,Cyanide,ppb,treatment plants,range,10 to 80,10,50,80,,80,MCL,200,no,1,Official web table.
TX2270001,2025,2025,Fluoride,ppm,treatment plants,range,0.59 to 0.71,0.59,0.66,0.71,,0.71,MCL,4,no,1,Official web table.
TX2270001,2025,2025,Nitrate as Nitrogen,ppm,treatment plants,range,0 to 0.11,0,0.05,0.11,,0.11,MCL,10,no,1,Official web table.
TX2270001,2025,2025,Chloramines,ppm,distribution system,range,0.06 to 3.1,0.06,2.3,3.1,,2.3,MRDL,4,no,1,Compliance statistic represented by reported average.
TX2270001,2025,2025,Haloacetic Acids HAA5,ppb,distribution system,LRAA,Highest LRAA 15.6,8.4,13.1,21.1,,15.6,MCL,60,no,1,Comparison uses highest LRAA rather than maximum individual result.
TX2270001,2025,2025,Total Trihalomethanes TTHM,ppb,distribution system,LRAA,Highest LRAA 45.5,31.4,40.5,53.9,,45.5,MCL,80,no,1,Comparison uses highest LRAA rather than maximum individual result.
TX2270001,2025,2024,Copper,ppm,customer taps,90th_percentile,90% of samples below 0.008,0,0.003,0.01,0.008,0.008,AL,1.3,no,1,No sample exceeded 1.3 ppm.
TX2270001,2025,2024,Lead,ppb,customer taps,90th_percentile,90% of samples below 1.0,0,0.2,5.1,1.0,1.0,AL,15,no,1,No sample exceeded 15 ppb.
TX2270001,2025,2025,Total Hardness as CaCO3,ppm,system water,range,70 to 126,70,93,126,,,,,not_applicable,1,No health benchmark reported.
WA5377050,2025,2025,Arsenic,ppb,Cedar finished water,range,0.3 to 0.6,0.3,0.54,0.6,,0.6,MCL,10,no,1,Official 2025 web table.
WA5377050,2025,2025,Barium,ppb,Cedar finished water,range,1.3 to 2.2,1.3,1.7,2.2,,2.2,MCL,2000,no,1,Official 2025 web table.
WA5377050,2025,2025,Fluoride,ppm,Cedar finished water,range,0.5 to 0.75,0.5,0.7,0.75,,0.75,MCL,4,no,1,Official 2025 web table.
WA5377050,2025,2025,Total Coliform,%,Cedar finished water,highest_month,Highest month 0.6%; annual average 0.05%,,,0.6,,0.6,MCL,5,no,1,Comparison uses highest monthly percentage.
WA5377050,2025,2025,Total Trihalomethanes,ppb,Cedar distribution area,range,19 to 41,19,34,41,,34,LRAA_MCL,80,no,1,Reported average used for compliance comparison; range retained.
WA5377050,2025,2025,Haloacetic Acids HAA5,ppb,Cedar distribution area,range,13 to 36,13,28,36,,28,LRAA_MCL,60,no,1,Reported average used for compliance comparison; range retained.
WA5377050,2025,2025,Arsenic,ppb,Tolt finished water,range,0.2 to 0.4,0.2,0.3,0.4,,0.4,MCL,10,no,1,Official 2025 web table.
WA5377050,2025,2025,Barium,ppb,Tolt finished water,range,1.1 to 1.54,1.1,1.3,1.54,,1.54,MCL,2000,no,1,Official 2025 web table.
WA5377050,2025,2025,Fluoride,ppm,Tolt finished water,range,0.6 to 0.75,0.6,0.7,0.75,,0.75,MCL,4,no,1,Official 2025 web table.
WA5377050,2025,2025,Total Coliform,%,Tolt finished water,highest_month,Highest month 0.6%; annual average 0.05%,,,0.6,,0.6,MCL,5,no,1,Comparison uses highest monthly percentage.
WA5377050,2025,2025,Total Trihalomethanes,ppb,Tolt distribution area,range,16 to 43,16,34,43,,34,LRAA_MCL,80,no,1,Reported average used for compliance comparison; range retained.
WA5377050,2025,2025,Haloacetic Acids HAA5,ppb,Tolt distribution area,range,15 to 41,15,28,41,,28,LRAA_MCL,60,no,1,Reported average used for compliance comparison; range retained.
WA5377050,2025,2025,Lead,ppb,customer taps,90th_percentile,90th percentile 1.6; 0 of 52 homes exceeded action level,,,,1.6,1.6,AL,15,no,1,Official 2025 lead and copper table.
WA5377050,2025,2025,Copper,ppm,customer taps,90th_percentile,90th percentile 0.12; 0 of 52 homes exceeded action level,,,,0.12,0.12,AL,1.3,no,1,Official 2025 lead and copper table.
CA0110005,2025,2025,Total Coliform,%,distribution system,highest_month,Highest month 0.3%,0,,0.3,,0.3,TT,5,no,4,Follow-up treatment-technique trigger is more than 5% positive in a month.
CA0110005,2025,2025,Turbidity,NTU,treatment plants,maximum,Highest individual result 6.80; individual-filter effluents remained below 0.3 NTU,0.02,,6.8,,,TT,1,no,4,The reported 6.80 occurred in a pipeline after filtration and is not compared with the filter-effluent treatment-technique limit; the report states no filter-performance violation.
CA0110005,2025,2025,Fluoride,ppm,treatment plants,range,0.6 to 0.8,0.6,,0.8,,0.8,MCL,2,no,4,
CA0110005,2025,2024,Lead,ppb,customer taps,90th_percentile,90th percentile ND; 0 of 53 sites above AL; individual range ND to 13.3,0,,13.3,0,0,AL,15,no,4,Reduced monitoring last completed in 2024; ND is retained as zero only for the percentile comparison.
CA0110005,2025,2024,Copper,ppm,customer taps,90th_percentile,90th percentile ND; 0 of 53 sites above AL; individual range ND to 0.2,0,,0.2,0,0,AL,1.3,no,4,Reduced monitoring last completed in 2024; ND is retained as zero only for the percentile comparison.
CA0110005,2025,2025,Haloacetic Acids HAA5,ppb,distribution system,highest_LRAA,Highest LRAA 50; individual ranges by treatment area 20 to 76,20,,76,,50,LRAA_MCL,60,no,4,Compliance uses highest LRAA rather than the individual maximum.
CA0110005,2025,2025,Total Trihalomethanes,ppb,distribution system,highest_LRAA,Highest LRAA 57; individual ranges by treatment area 25 to 110,25,,110,,57,LRAA_MCL,80,no,4,Compliance uses highest LRAA rather than the individual maximum.
CA0110005,2025,2025,Chloramine as Chlorine,ppm,distribution system,highest_running_annual_average,Highest running annual average 2.4; individual range 0.07 to 3.71,0.07,,3.71,,2.4,MRDL,4,no,4,
CA0110005,2025,2025,PFHxA,ppt,treatment plants,range,ND to 3.4,0,,3.4,,3.4,unregulated,,no,5,UCMR5 detection; no established MCL shown in the report.
CA0110005,2025,2025,PFBA,ppt,treatment plants,range,ND to 5.2,0,,5.2,,5.2,unregulated,,no,5,PFBA is not one of the six newly regulated PFAS compounds and has no MCL in the report.
OH1801212,2025,2025,Fluoride,ppm,four treatment plants,range,0.76 to 1.26,0.76,,1.26,,1.26,MCL,4,no,12,Plant-specific level-found values are retained in the source report.
OH1801212,2025,2025,Nitrate as Nitrogen,ppm,four treatment plants,range,ND to 0.48,0,,0.48,,0.48,MCL,10,no,12,
OH1801212,2025,2025,Total Trihalomethanes,ppb,combined distribution system,highest_LRAA,Highest LRAA 39.4; individual range 9.8 to 65.4,9.8,,65.4,,39.4,LRAA_MCL,80,no,12,Combined-distribution value applies to all four treatment plants.
OH1801212,2025,2025,Haloacetic Acids HAA5,ppb,combined distribution system,highest_LRAA,Highest LRAA 14.7; individual range 6.0 to 14.7,6,,14.7,,14.7,LRAA_MCL,60,no,12,Combined-distribution value applies to all four treatment plants.
